query_title,title,year,date,cites,venue,doi,url,authors,abstract
Teaching Models to Express Their Uncertainty in Words,Teaching Models to Express Their Uncertainty in Words,2022,2022-05-28,54,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2205.14334,http://arxiv.org/abs/2205.14334,Stephanie Lin; Jacob Hilton; Owain Evans,"We show that a GPT-3 model can learn to express uncertainty about its own answers in natural language -- without use of model logits. When given a question, the model generates both an answer and a level of confidence (e.g. ""90% confidence"" or ""high confidence""). These levels map to probabilities that are well calibrated. The model also remains moderately calibrated under distribution shift, and is sensitive to uncertainty in its own answers, rather than imitating human examples. To our knowledge, this is the first time a model has been shown to express calibrated uncertainty about its own ans"
Language Models (Mostly) Know What They Know,Language Models (Mostly) Know What They Know,2022,2022-07-11,171,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2207.05221,http://arxiv.org/abs/2207.05221,Saurav Kadavath; Tom Conerly; Amanda Askell,"We study whether language models can evaluate the validity of their own claims and predict which questions they will be able to answer correctly. We first show that larger models are well-calibrated on diverse multiple choice and true/false questions when they are provided in the right format. Thus we can approach self-evaluation on open-ended sampling tasks by asking models to first propose answers, and then to evaluate the probability ""P(True)"" that their answers are correct. We find encouraging performance, calibration, and scaling for P(True) on a diverse array of tasks. Performance at sel"
Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,2023,2023-02-19,52,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2302.09664,http://arxiv.org/abs/2302.09664,Lorenz Kuhn; Yarin Gal; Sebastian Farquhar,"We introduce a method to measure uncertainty in large language models. For tasks like question answering, it is essential to know when we can trust the natural language outputs of foundation models. We show that measuring uncertainty in natural language is challenging because of ""semantic equivalence"" -- different sentences can mean the same thing. To overcome these challenges we introduce semantic entropy -- an entropy which incorporates linguistic invariances created by shared meanings. Our method is unsupervised, uses only a single model, and requires no modifications to off-the-shelf langu"
Mastering Diverse Domains through World Models,Mastering Diverse Domains through World Models,2023,2023-01-10,95,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2301.04104,http://arxiv.org/abs/2301.04104,Danijar Hafner; Jurgis Pašukonis; Jimmy Ba,"Developing a general algorithm that learns to solve tasks across a wide range of applications has been a fundamental challenge in artificial intelligence. Although current reinforcement learning algorithms can be readily applied to tasks similar to what they have been developed for, configuring them for new application domains requires significant human expertise and experimentation. We present DreamerV3, a general algorithm that outperforms specialized methods across over 150 diverse tasks, with a single configuration. Dreamer learns a model of the environment and improves its behavior by ima"
Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,2023,2023-10-06,10,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.04406,http://arxiv.org/abs/2310.04406,Andy Zhou; Kai Yan; Michal Shlapentokh-Rothman,"While language models (LMs) have shown potential across a range of decision-making tasks, their reliance on simple acting processes limits their broad deployment as autonomous agents. In this paper, we introduce Language Agent Tree Search (LATS) -- the first general framework that synergizes the capabilities of LMs in reasoning, acting, and planning. By leveraging the in-context learning ability of LMs, we integrate Monte Carlo Tree Search into LATS to enable LMs as agents, along with LM-powered value functions and self-reflections for proficient exploration and enhanced decision-making. A key"
AgentGym: Evolving Large Language Model-based Agents across Diverse Environments,AgentGym: Evolving Large Language Model-based Agents across Diverse Environments,2024,2024-06-06,3,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2406.04151,http://arxiv.org/abs/2406.04151,Zhiheng Xi; Yiwen Ding; Wen-Xiang Chen,"Building generalist agents that can handle diverse tasks and evolve themselves across different environments is a long-term goal in the AI community. Large language models (LLMs) are considered a promising foundation to build such agents due to their generalized capabilities. Current approaches either have LLM-based agents imitate expert-provided trajectories step-by-step, requiring human supervision, which is hard to scale and limits environmental exploration; or they let agents explore and learn in isolated environments, resulting in specialist agents with limited generalization. In this pap"
ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,2024,2024-02-29,2,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2402.19446,http://arxiv.org/abs/2402.19446,Yifei Zhou; Andrea Zanette; Jiayi Pan,"A broad use case of large language models (LLMs) is in goal-directed decision-making tasks (or ""agent"" tasks), where an LLM needs to not just generate completions for a given prompt, but rather make intelligent decisions over a multi-turn interaction to accomplish a task (e.g., when interacting with the web, using tools, or providing customer support). Reinforcement learning (RL) provides a general paradigm to address such agent tasks, but current RL methods for LLMs largely focus on optimizing single-turn rewards. By construction, most single-turn RL methods cannot endow LLMs with the ability"
Agent Q: Advanced Reasoning and Learning for Autonomous AI Agents,Agent Q: Advanced Reasoning and Learning for Autonomous AI Agents,2024,2024-08-13,7,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2408.07199,http://arxiv.org/abs/2408.07199,Pranav Putta; Edmund Mills; Naman Garg,"Large Language Models (LLMs) have shown remarkable capabilities in natural language tasks requiring complex reasoning, yet their application in agentic, multi-step reasoning within interactive environments remains a difficult challenge. Traditional supervised pre-training on static datasets falls short in enabling autonomous agent capabilities needed to perform complex decision-making in dynamic settings like web navigation. Previous attempts to bridge this ga-through supervised fine-tuning on curated expert demonstrations-often suffer from compounding errors and limited exploration data, resu"
FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2024,2024-05-20,40,Proceedings of the AAAI Symposium Series,https://doi.org/10.1609/aaaiss.v3i1.31290,https://doi.org/10.1609/aaaiss.v3i1.31290,Yangyang Yu; Haohang Li; Cheng Zhi,"Recent advancements in Large Language Models (LLMs) have exhibited notable efficacy in question-answering (QA) tasks across diverse domains. Their prowess in integrating extensive web knowledge has fueled interest in developing LLM-based autonomous agents. While LLMs are efficient in decoding human instructions and deriving solutions by holistically processing historical inputs, transitioning to purpose-driven agents requires a supplementary rational architecture to process multi-source information, establish reasoning chains, and prioritize critical tasks. Addressing this, we introduce FinMem"
FinAgent: A Multimodal Foundation Agent for Financial Trading,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",2024,2024-08-24,68,,https://doi.org/10.1145/3637528.3671801,https://doi.org/10.1145/3637528.3671801,Wentao Zhang; Lingxuan Zhao; Haochong Xia,"Financial trading is a crucial component of the markets, informed by a multimodal information landscape encompassing news, prices, and Kline charts, and encompasses diverse tasks such as quantitative trading and high-frequency trading with various assets. While advanced AI techniques like deep learning and reinforcement learning are extensively utilized in finance, their application in financial trading tasks often faces challenges due to inadequate handling of multimodal data and limited generalizability across various tasks. To address these challenges, we present FinAgent, a multimodal foun"
FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,2024,2024-01-01,31,,https://doi.org/10.52202/079017-4354,https://doi.org/10.52202/079017-4354,Yangyang Yu; Zhiyuan Yao; Haohang Li,
TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,2023,2023-09-07,11,RePEc: Research Papers in Economics,https://doi.org/10.48550/arxiv.2309.03736,http://arxiv.org/pdf/2309.03736,Yang Li; Yangyang Yu; Haohang Li,"Large Language Models (LLMs), prominently highlighted by the recent evolution in the Generative Pre-trained Transformers (GPT) series, have displayed significant prowess across various domains, such as aiding in healthcare diagnostics and curating analytical business reports. The efficacy of GPTs lies in their ability to decode human instructions, achieved through comprehensively processing historical inputs as an entirety within their memory system. Yet, the memory processing of GPTs does not precisely emulate the hierarchical nature of human memory. This can result in LLMs struggling to prio"
A-MEM: Agentic Memory for LLM Agents,A-Mem: Agentic Memory for LLM Agents,2025,2025-01-01,10,,https://doi.org/10.52202/085713-0593,https://doi.org/10.52202/085713-0593,Wujiang Xu; Zujie Liang; Kai Mei,"While large language model (LLM) agents can effectively use external tools for complex real-world tasks, they require memory systems to leverage historical experiences. Current memory systems enable basic storage and retrieval but lack sophisticated memory organization, despite recent attempts to incorporate graph databases. Moreover, these systems' fixed operations and structures limit their adaptability across diverse tasks. To address this limitation, this paper proposes a novel agentic memory system for LLM agents that can dynamically organize memories in an agentic way. Following the basi"
Evaluating Very Long-Term Conversational Memory of LLM Agents,Evaluating Very Long-Term Conversational Memory of LLM Agents,2024,2024-01-01,70,,https://doi.org/10.18653/v1/2024.acl-long.747,https://doi.org/10.18653/v1/2024.acl-long.747,Adyasha Maharana; Dong-Ho Lee; Sergey Tulyakov,"Adyasha Maharana, Dong-Ho Lee, Sergey Tulyakov, Mohit Bansal, Francesco Barbieri, Yuwei Fang. Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers). 2024."
LLMs Get Lost In Multi-Turn Conversation,LLMs Get Lost In Multi-Turn Conversation,2025,2025-05-09,9,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2505.06120,http://arxiv.org/abs/2505.06120,Philippe Laban; Hiroaki Hayashi; Yingbo Zhou,"Large Language Models (LLMs) are conversational interfaces. As such, LLMs have the potential to assist their users not only when they can fully specify the task at hand, but also to help them define, explore, and refine what they need through multi-turn conversational exchange. Although analysis of LLM conversation logs has confirmed that underspecification occurs frequently in user instructions, LLM evaluation has predominantly focused on the single-turn, fully-specified instruction setting. In this work, we perform large-scale simulation experiments to compare LLM performance in single- and "
Agents Thinking Fast and Slow: A Talker-Reasoner Architecture,Agents Thinking Fast and Slow: A Talker-Reasoner Architecture,2024,2024-10-10,2,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2410.08328,http://arxiv.org/abs/2410.08328,"Konstantina Christakopoulou; Mourad, Shibl; Maja J. Matarić","Large language models have enabled agents of all kinds to interact with users through natural conversation. Consequently, agents now have two jobs: conversing and planning/reasoning. Their conversational responses must be informed by all available information, and their actions must help to achieve goals. This dichotomy between conversing with the user and doing multi-step reasoning and planning can be seen as analogous to the human systems of ""thinking fast and slow"" as introduced by Kahneman. Our approach is comprised of a ""Talker"" agent (System 1) that is fast and intuitive, and tasked with"
Bayesian Inference for LLM belief tracking partially observable,QuBE: Question-based Belief Enhancement for Agentic LLM Reasoning,2024,2024-01-01,3,,https://doi.org/10.18653/v1/2024.emnlp-main.1193,https://doi.org/10.18653/v1/2024.emnlp-main.1193,Minsoo Kim; Jongyoon Kim; Jihyuk Kim,"Despite advancements in Large Language Models (LLMs), many complex tasks are not easily solved in a single inference step, requiring the use of agentic LLMs in interactive environments.However, agentic LLMs suffer from a phenomenon known as reasoning derailment, due to the indiscriminate incorporation of observations from partially observable environments.We introduce QuBE, a method that enhances agents' focus on task-relevant contexts, by constructing a belief state via question answering.We validate QuBE through experiments in two agentic LLM scenarios with partial observability: 1) a canoni"
SmartPlay: A Benchmark for LLMs as Intelligent Agents,SmartPlay: A Benchmark for LLMs as Intelligent Agents,2023,2023-10-02,1,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.01557,http://arxiv.org/abs/2310.01557,Yue Wu; Xuan Tang; Tom M. Mitchell,"Recent large language models (LLMs) have demonstrated great potential toward intelligent agents and next-gen automation, but there currently lacks a systematic benchmark for evaluating LLMs' abilities as agents. We introduce SmartPlay: both a challenging benchmark and a methodology for evaluating LLMs as agents. SmartPlay consists of 6 different games, including Rock-Paper-Scissors, Tower of Hanoi, Minecraft. Each game features a unique setting, providing up to 20 evaluation settings and infinite environment variations. Each game in SmartPlay uniquely challenges a subset of 9 important capabil"
