query_title,title,year,date,cites,venue,doi,url,authors,abstract
Self-Refine: Iterative Refinement with Self-Feedback,Self-Refine: Iterative Refinement with Self-Feedback,2023,2023-01-01,304,,https://doi.org/10.52202/075280-2019,https://doi.org/10.52202/075280-2019,Aman Madaan; Niket Tandon; Prakhar Gupta,
Large Language Models as Commonsense Knowledge for Large-Scale Task Planning,Large Language Models as Commonsense Knowledge for Large-Scale Task Planning,2023,2023-05-23,41,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2305.14078,http://arxiv.org/abs/2305.14078,Zirui Zhao; Wee Sun Lee; David Hsu,"Large-scale task planning is a major challenge. Recent work exploits large language models (LLMs) directly as a policy and shows surprisingly interesting results. This paper shows that LLMs provide a commonsense model of the world in addition to a policy that acts on it. The world model and the policy can be combined in a search algorithm, such as Monte Carlo Tree Search (MCTS), to scale up task planning. In our new LLM-MCTS algorithm, the LLM-induced world model provides a commonsense prior belief for MCTS to achieve effective reasoning; the LLM-induced policy acts as a heuristic to guide the"
"Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents","Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents",2023,2023-02-03,51,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2302.01560,http://arxiv.org/abs/2302.01560,"Zihao Wang; Shaofei Cai; Chen, Guanzhou","We investigate the challenge of task planning for multi-task embodied agents in open-world environments. Two main difficulties are identified: 1) executing plans in an open-world environment (e.g., Minecraft) necessitates accurate and multi-step reasoning due to the long-term nature of tasks, and 2) as vanilla planners do not consider how easy the current agent can achieve a given sub-task when ordering parallel sub-goals within a complicated plan, the resulting plan could be inefficient or even infeasible. To this end, we propose ""$\underline{D}$escribe, $\underline{E}$xplain, $\underline{P}$"
AgentBench: Evaluating LLMs as Agents,AgentBench: Evaluating LLMs as Agents,2023,2023-08-07,55,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2308.03688,http://arxiv.org/abs/2308.03688,Xiao Liu; Hao Yu; Hanchen Zhang,"The potential of Large Language Model (LLM) as agents has been widely acknowledged recently. Thus, there is an urgent need to quantitatively \textit{evaluate LLMs as agents} on challenging tasks in interactive environments. We present AgentBench, a multi-dimensional benchmark that consists of 8 distinct environments to assess LLM-as-Agent's reasoning and decision-making abilities. Our extensive test over \num API-based and open-sourced (OSS) LLMs shows that, while top commercial LLMs present a strong ability of acting as agents in complex environments, there is a significant disparity in perfo"
WebArena: A Realistic Web Environment for Building Autonomous Agents,VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,2024,2024-01-01,41,,https://doi.org/10.18653/v1/2024.acl-long.50,https://doi.org/10.18653/v1/2024.acl-long.50,Jing Yu Koh; Robert Lo; Lawrence Jang,"Jing Yu Koh, Robert Lo, Lawrence Jang, Vikram Duvvur, Ming Lim, Po-Yu Huang, Graham Neubig, Shuyan Zhou, Russ Salakhutdinov, Daniel Fried. Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers). 2024."
ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,ALFWorld: Aligning Text and Embodied Environments for Interactive Learning,2021,2021-05-03,52,,,https://openreview.net/pdf?id=0IOX0YcCdTn,Mohit Shridhar; Xingdi Yuan; Marc-Alexandre Côté,"Given a simple request like Put a washed apple in the kitchen fridge, humans can reason in purely abstract terms by imagining action sequences and scoring their likelihood of success, prototypicality, and efficiency, all without moving a muscle. Once we see the kitchen in question, we can update our abstract plans to fit the scene. Embodied agents require the same abilities, but existing work does not yet provide the infrastructure necessary for both reasoning abstractly and executing concretely. We address this limitation by introducing ALFWorld, a simulator that enables agents to learn abstr"
Decision Transformer: Reinforcement Learning via Sequence Modeling,Decision Transformer: Reinforcement Learning via Sequence Modeling,2021,2021-06-02,465,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2106.01345,http://arxiv.org/abs/2106.01345,Lili Chen; Kevin Lü; Aravind Rajeswaran,"We introduce a framework that abstracts Reinforcement Learning (RL) as a sequence modeling problem. This allows us to draw upon the simplicity and scalability of the Transformer architecture, and associated advances in language modeling such as GPT-x and BERT. In particular, we present Decision Transformer, an architecture that casts the problem of RL as conditional sequence modeling. Unlike prior approaches to RL that fit value functions or compute policy gradients, Decision Transformer simply outputs the optimal actions by leveraging a causally masked Transformer. By conditioning an autoregr"
Evaluating Large Language Models in Theory of Mind Tasks,Evaluating large language models in theory of mind tasks,2024,2024-10-29,204,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2405460121,https://doi.org/10.1073/pnas.2405460121,Michał Kosiński,"Eleven large language models (LLMs) were assessed using 40 bespoke false-belief tasks, considered a gold standard in testing theory of mind (ToM) in humans. Each task included a false-belief scenario, three closely matched true-belief control scenarios, and the reversed versions of all four. An LLM had to solve all eight scenarios to solve a single task. Older models solved no tasks; Generative Pre-trained Transformer (GPT)-3-davinci-003 (from November 2022) and ChatGPT-3.5-turbo (from March 2023) solved 20% of the tasks; ChatGPT-4 (from June 2023) solved 75% of the tasks, matching the perform"
How FaR Are Large Language Models From Agents with Theory-of-Mind,How FaR Are Large Language Models From Agents with Theory-of-Mind?,2023,2023-10-04,6,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.03051,http://arxiv.org/abs/2310.03051,Pei Zhou; Aman Madaan; Srividya Pranavi Potharaju,"""Thinking is for Doing."" Humans can infer other people's mental states from observations--an ability called Theory-of-Mind (ToM)--and subsequently act pragmatically on those inferences. Existing question answering benchmarks such as ToMi ask models questions to make inferences about beliefs of characters in a story, but do not test whether models can then use these inferences to guide their actions. We propose a new evaluation paradigm for large language models (LLMs): Thinking for Doing (T4D), which requires models to connect inferences about others' mental states to actions in social scenari"
Dialogue State Tracking with a Language Model using Schema-Driven Prompting,Dialogue State Tracking with a Language Model using Schema-Driven Prompting,2021,2021-01-01,88,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2021.emnlp-main.404,https://doi.org/10.18653/v1/2021.emnlp-main.404,Chia‐Hsuan Lee; Hao Cheng; Mari Ostendorf,"Task-oriented conversational systems often use dialogue state tracking to represent the user's intentions, which involves filling in values of pre-defined slots.Many approaches have been proposed, often using task-specific architectures with special-purpose classifiers.Recently, good results have been obtained using more general architectures based on pretrained language models.Here, we introduce a new variation of the language modeling approach that uses schema-driven prompting to provide task-aware history encoding that is used for both categorical and non-categorical slots.We further improv"
Large Language Models Still Can't Plan,Training language models to follow instructions with human feedback,2022,2022-03-04,4347,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2203.02155,http://arxiv.org/abs/2203.02155,Long Ouyang; Jeff Wu; Xu Jiang,"Making language models bigger does not inherently make them better at following a user's intent. For example, large language models can generate outputs that are untruthful, toxic, or simply not helpful to the user. In other words, these models are not aligned with their users. In this paper, we show an avenue for aligning language models with user intent on a wide range of tasks by fine-tuning with human feedback. Starting with a set of labeler-written prompts and prompts submitted through the OpenAI API, we collect a dataset of labeler demonstrations of the desired model behavior, which we u"
LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,2023,2023-04-22,85,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2304.11477,http://arxiv.org/abs/2304.11477,Bo Liu; Yuqian Jiang; Xiaohan Zhang,"Large language models (LLMs) have demonstrated remarkable zero-shot generalization abilities: state-of-the-art chatbots can provide plausible answers to many common questions that arise in daily life. However, so far, LLMs cannot reliably solve long-horizon planning problems. By contrast, classical planners, once a problem is given in a formatted way, can use efficient search algorithms to quickly identify correct, or even optimal, plans. In an effort to get the best of both worlds, this paper introduces LLM+P, the first framework that incorporates the strengths of classical planners into LLMs"
